»ç¿ë³â¿ù,X4½Ã½ÂÂ÷ÃÑ½Â°´¼ö,X4½ÃÇÏÂ÷ÃÑ½Â°´¼ö,X5½Ã½ÂÂ÷ÃÑ½Â°´¼ö,X5½ÃÇÏÂ÷ÃÑ½Â°´¼ö,X6½Ã½ÂÂ÷ÃÑ½Â°´¼ö,X6½ÃÇÏÂ÷ÃÑ½Â°´¼ö,X7½Ã½ÂÂ÷ÃÑ½Â°´¼ö,X7½ÃÇÏÂ÷ÃÑ½Â°´¼ö,X8½Ã½ÂÂ÷ÃÑ½Â°´¼ö,X8½ÃÇÏÂ÷ÃÑ½Â°´¼ö,X9½Ã½ÂÂ÷ÃÑ½Â°´¼ö,X9½ÃÇÏÂ÷ÃÑ½Â°´¼ö,X10½Ã½ÂÂ÷ÃÑ½Â°´¼ö,X10½ÃÇÏÂ÷ÃÑ½Â°´¼ö,X11½Ã½ÂÂ÷ÃÑ½Â°´¼ö,X11½ÃÇÏÂ÷ÃÑ½Â°´¼ö,X12½Ã½ÂÂ÷ÃÑ½Â°´¼ö,X12½ÃÇÏÂ÷ÃÑ½Â°´¼ö,X13½Ã½ÂÂ÷ÃÑ½Â°´¼ö,X13½ÃÇÏÂ÷ÃÑ½Â°´¼ö,X14½Ã½ÂÂ÷ÃÑ½Â°´¼ö,X14½ÃÇÏÂ÷ÃÑ½Â°´¼ö,X15½Ã½ÂÂ÷ÃÑ½Â°´¼ö,X15½ÃÇÏÂ÷ÃÑ½Â°´¼ö,X16½Ã½ÂÂ÷ÃÑ½Â°´¼ö,X16½ÃÇÏÂ÷ÃÑ½Â°´¼ö,X17½Ã½ÂÂ÷ÃÑ½Â°´¼ö,X17½ÃÇÏÂ÷ÃÑ½Â°´¼ö,X18½Ã½ÂÂ÷ÃÑ½Â°´¼ö,X18½ÃÇÏÂ÷ÃÑ½Â°´¼ö,X19½Ã½ÂÂ÷ÃÑ½Â°´¼ö,X19½ÃÇÏÂ÷ÃÑ½Â°´¼ö,X20½Ã½ÂÂ÷ÃÑ½Â°´¼ö,X20½ÃÇÏÂ÷ÃÑ½Â°´¼ö,X21½Ã½ÂÂ÷ÃÑ½Â°´¼ö,X21½ÃÇÏÂ÷ÃÑ½Â°´¼ö,X22½Ã½ÂÂ÷ÃÑ½Â°´¼ö,X22½ÃÇÏÂ÷ÃÑ½Â°´¼ö,X23½Ã½ÂÂ÷ÃÑ½Â°´¼ö,X23½ÃÇÏÂ÷ÃÑ½Â°´¼ö
202305,0,0,0,0,10,68,40,224,45,129,34,56,40,50,31,62,34,65,59,54,65,49,81,63,52,67,49,54,105,39,78,38,65,40,23,21,31,13,23,9
202305,65,91,91,364,114,59,157,143,218,104,153,57,152,54,108,82,126,47,149,80,176,35,271,36,222,26,236,28,426,39,365,25,229,10,149,21,191,5,5,0
202305,0,1,0,0,26,222,26,269,33,328,37,159,42,258,29,174,37,143,41,160,57,128,99,104,61,147,74,142,107,120,96,91,85,81,59,34,58,22,51,15
202305,0,0,0,0,3,214,10,371,7,117,10,99,9,90,12,95,14,82,10,124,13,90,30,75,16,91,12,88,31,70,18,50,19,39,8,23,8,30,4,11
202305,21,65,16,165,10,60,39,132,35,96,50,63,52,63,47,88,50,81,57,89,93,42,154,69,56,42,73,38,140,38,113,18,99,63,46,29,72,7,0,0
202305,0,0,0,0,10,7,48,184,49,74,66,34,90,65,39,25,40,33,58,67,78,37,104,50,121,58,111,43,121,26,93,34,81,49,50,21,58,13,43,3
202305,18,11,15,77,2,29,23,49,43,66,23,13,17,19,17,9,33,20,51,41,73,15,94,9,73,19,92,29,124,20,84,22,92,17,55,56,90,4,24,1
202305,0,0,0,0,9,73,9,87,8,60,12,37,8,34,5,28,8,40,12,35,11,30,13,28,11,20,10,19,5,19,21,8,17,15,5,3,6,4,2,3
202305,21,8,19,63,16,50,62,45,83,62,50,41,86,25,103,29,119,20,110,47,162,49,163,27,103,30,176,31,308,38,163,42,141,20,67,22,147,6,0,0
202306,0,0,4,85,30,46,52,85,49,66,75,48,38,60,54,55,53,47,65,51,63,23,112,43,63,41,83,38,140,44,120,26,79,50,44,16,28,11,0,0
202306,0,0,0,0,10,69,36,208,64,134,34,48,64,61,41,74,57,77,56,70,56,65,96,43,58,51,68,47,95,57,75,32,46,34,25,19,25,25,31,9
202306,58,96,72,368,128,85,157,159,238,127,144,27,158,58,90,55,101,60,156,95,180,53,288,28,249,32,226,21,420,30,381,24,287,14,157,23,164,8,1,0
202306,0,0,0,0,25,226,18,343,15,292,31,165,43,242,38,156,36,161,42,165,66,135,107,99,85,142,86,149,100,98,118,94,111,87,53,49,83,28,65,8
202306,23,68,11,168,14,71,29,132,31,86,43,58,69,98,26,77,57,71,77,93,94,37,104,63,69,44,74,33,151,53,98,32,106,68,44,40,90,14,0,0
202306,0,0,0,0,10,11,54,184,54,102,41,43,82,64,48,41,47,30,55,46,97,33,128,48,120,48,128,47,137,36,103,16,111,43,63,17,50,14,38,2
202306,10,8,16,47,7,39,34,38,40,58,19,13,18,13,28,21,26,28,65,19,62,16,96,17,68,27,72,27,113,43,87,12,118,29,52,49,90,1,23,1
202306,0,0,0,0,9,92,11,95,14,86,2,27,10,28,8,35,7,38,15,40,11,29,18,40,4,31,11,27,12,23,25,22,15,10,8,1,5,6,7,2
202306,0,0,0,0,10,213,22,337,16,166,13,85,11,101,10,124,14,101,12,120,13,101,24,78,14,120,23,92,21,67,20,33,14,33,4,20,6,22,8,12
202306,39,14,20,66,35,56,52,56,69,52,57,19,75,24,85,26,107,26,105,58,148,59,183,38,98,40,138,23,326,53,128,50,144,28,87,32,104,6,0,0
202307,0,0,23,79,32,40,68,96,52,106,46,51,34,75,34,63,45,64,70,75,69,39,149,46,98,40,116,53,207,48,136,38,114,51,37,17,35,5,0,0
202307,0,0,0,0,4,53,38,261,54,123,41,42,62,58,42,87,36,74,49,71,81,57,94,61,62,60,75,73,105,43,82,35,56,46,31,36,23,14,43,15
202307,19,19,20,53,25,64,77,56,56,28,53,29,65,19,78,35,110,28,118,36,134,33,172,19,107,35,178,26,319,43,163,48,167,20,92,31,109,5,0,0
202307,52,101,93,388,128,66,141,156,240,123,113,38,148,60,117,48,127,39,160,71,191,31,305,46,232,41,239,23,407,30,384,23,244,19,175,17,216,11,13,0
202307,0,0,0,0,18,220,17,331,17,282,28,161,31,221,31,157,44,130,54,158,82,117,122,115,61,135,113,118,107,111,106,80,124,53,67,53,74,43,79,12
202307,13,73,11,204,8,71,46,142,36,90,40,30,64,69,42,68,55,85,69,119,89,37,94,64,94,30,96,48,152,45,137,35,111,63,62,28,86,9,1,0
202307,0,0,0,0,14,12,39,210,78,111,49,39,77,46,53,37,64,47,89,50,121,40,161,39,126,62,113,42,160,33,133,27,118,30,50,31,67,12,54,3
202307,14,6,4,53,4,34,33,43,45,42,19,24,28,17,23,19,62,32,81,31,101,17,110,14,93,20,106,25,142,42,136,29,134,18,61,32,128,1,31,1
202307,0,0,0,0,8,93,3,70,9,81,6,53,4,33,4,28,6,48,10,54,22,32,25,29,5,17,13,31,17,30,20,13,28,12,4,11,13,3,6,2
202307,0,0,0,0,11,202,13,387,8,160,7,85,6,91,9,112,12,95,18,118,15,98,31,84,13,99,21,91,22,70,26,36,29,51,10,28,4,27,8,8
202308,0,0,15,102,37,34,64,125,59,96,67,51,39,82,38,56,70,65,75,61,82,31,115,41,83,44,139,42,142,42,151,29,113,39,54,21,47,2,0,0
202308,0,0,0,0,5,76,50,241,57,135,40,63,46,74,39,74,55,78,56,70,102,62,138,65,47,44,75,61,124,65,117,48,50,23,37,16,45,14,34,12
202308,87,143,91,372,95,95,148,212,201,107,129,54,160,59,116,58,96,53,138,52,172,43,337,42,199,41,251,42,409,35,359,23,254,33,186,40,218,6,4,0
202308,0,0,0,0,26,184,27,296,28,328,31,166,50,185,47,161,47,157,57,138,98,144,88,106,86,123,109,130,102,97,96,84,126,53,70,39,76,36,49,13
202308,30,89,18,171,19,83,34,159,42,134,45,46,66,91,46,68,61,68,66,114,78,34,129,53,102,39,119,56,162,48,117,43,98,45,54,31,84,9,4,0
202308,0,0,0,0,3,11,47,213,64,125,72,54,89,61,48,51,57,61,97,51,111,38,171,42,170,69,134,37,181,25,131,25,114,37,56,35,60,13,37,2
202308,16,12,7,50,4,27,31,35,46,63,17,10,20,14,28,18,48,24,69,26,63,15,129,16,71,17,122,14,124,26,112,16,99,21,93,20,88,1,19,0
202308,0,0,0,0,4,101,9,132,12,108,3,43,10,44,7,44,8,55,15,39,13,16,25,15,2,29,27,26,32,48,14,14,22,10,8,6,2,6,4,2
202308,0,0,0,0,11,215,11,359,11,183,8,102,12,113,15,117,13,135,14,135,26,97,30,94,25,111,15,84,31,80,25,36,38,32,10,29,8,19,6,9
202308,20,21,21,62,21,77,71,51,66,53,43,23,87,15,85,23,132,28,112,38,142,28,181,36,108,33,201,34,337,34,148,39,203,24,92,30,151,1,0,0
202309,0,0,9,75,45,37,45,90,54,144,56,45,64,53,72,70,63,63,81,54,123,36,144,33,104,41,123,37,160,26,121,28,104,42,52,13,72,10,1,0
202309,74,105,41,327,108,94,143,153,147,90,104,31,113,56,91,71,128,74,151,57,213,43,276,32,241,48,194,38,324,21,300,22,264,22,146,16,250,10,8,0
202309,0,0,0,0,31,296,14,265,27,258,53,208,45,153,35,152,44,142,60,226,130,90,98,86,81,107,69,125,93,103,58,82,84,37,78,32,63,27,94,15
202309,17,45,45,86,47,29,80,61,56,66,85,24,106,17,98,25,122,29,139,34,161,15,177,22,121,25,136,45,251,33,139,28,161,17,131,37,142,2,0,0
202309,29,100,25,218,32,61,51,135,36,132,41,43,47,63,34,90,50,94,78,84,124,46,136,57,65,34,85,60,107,36,105,32,110,43,74,14,80,4,0,0
202309,0,0,0,0,1,8,63,220,51,104,60,50,98,78,47,66,26,52,69,73,96,58,144,41,123,45,141,51,144,50,89,40,94,26,57,11,50,7,37,11
202309,8,16,22,84,10,45,26,20,37,29,34,5,24,26,29,10,52,20,91,22,72,15,120,19,70,18,96,34,137,22,94,13,89,17,91,22,86,6,18,0
202309,0,0,0,0,6,79,5,95,4,95,3,24,7,30,16,39,5,64,7,31,15,26,33,35,10,20,9,34,7,33,12,7,17,8,5,5,10,4,6,2
202309,0,0,0,0,6,227,13,334,8,173,6,99,9,126,19,113,11,121,11,165,12,87,42,82,26,142,16,96,21,107,16,32,23,31,7,47,10,34,7,8
202309,0,0,0,0,6,68,32,207,36,114,42,57,30,48,46,107,37,76,60,101,76,69,98,62,84,73,97,69,95,54,66,28,83,13,38,23,50,16,27,13
202310,0,1,12,100,43,48,38,54,35,53,57,32,37,74,45,59,63,52,75,44,92,40,155,38,98,44,106,20,125,45,126,32,109,32,55,12,36,5,0,0
202310,0,0,0,0,7,67,55,245,41,130,26,46,53,66,45,90,39,66,46,87,73,62,87,58,72,64,69,46,76,54,78,27,57,32,28,17,20,10,26,9
202310,0,0,0,0,18,213,17,372,10,185,11,104,9,114,10,108,18,119,11,135,18,123,32,104,14,89,31,115,24,60,14,46,32,33,8,37,7,24,8,6
202310,60,117,80,359,111,103,180,126,152,116,156,54,151,80,100,50,124,60,137,52,262,53,309,31,221,45,240,42,374,24,302,15,266,19,178,13,202,9,0,0
202310,0,0,0,0,33,191,18,300,29,293,44,193,44,188,39,170,49,160,49,127,72,110,111,110,86,124,82,117,103,70,108,86,112,55,63,38,47,18,56,18
202310,24,106,18,182,15,62,54,123,36,85,45,44,49,86,43,88,50,87,78,74,96,32,101,67,65,40,105,45,115,27,136,41,94,46,33,21,75,10,0,0
202310,0,0,0,0,3,5,57,171,48,109,48,43,94,73,37,42,56,57,64,51,97,44,124,43,106,76,111,48,145,28,123,16,122,43,45,19,45,9,53,1
202310,7,12,4,57,20,43,20,54,41,31,30,15,11,19,24,11,36,16,66,20,61,17,88,9,93,9,74,38,113,37,104,18,82,27,52,25,63,1,14,0
202310,0,0,0,0,8,82,10,88,11,98,4,35,5,31,2,37,9,25,8,41,6,16,26,19,8,23,7,28,10,28,21,7,23,15,6,8,5,1,12,2
202310,25,25,21,54,19,47,70,63,50,57,50,22,66,23,108,17,122,22,144,29,185,39,184,27,135,39,166,31,286,67,185,28,157,27,92,24,101,4,0,0
202311,0,0,0,0,3,84,37,293,54,136,33,69,43,68,33,98,41,75,32,75,69,42,83,56,71,55,84,76,110,45,78,30,63,31,14,25,21,24,32,10
202311,49,103,73,348,99,100,156,161,213,110,140,59,160,47,88,59,103,56,148,57,225,30,250,23,156,68,208,38,323,25,314,17,250,30,158,5,186,8,1,0
202311,0,0,0,0,30,217,20,290,18,281,30,140,51,174,37,164,39,118,56,143,80,114,114,87,81,88,103,110,86,85,93,84,126,73,47,25,80,25,54,7
202311,0,0,7,89,37,56,59,86,34,57,57,39,24,84,54,46,45,55,69,47,105,41,137,41,94,57,121,39,160,38,142,40,108,44,50,14,47,4,0,0
202311,27,99,14,197,12,64,68,134,35,97,50,32,65,94,41,63,37,70,70,69,80,29,103,67,82,62,103,44,134,36,101,43,92,43,53,18,80,7,0,0
202311,0,0,0,0,1,7,55,201,47,63,54,54,79,60,29,51,58,47,61,48,110,38,132,40,97,70,129,57,162,25,112,9,96,46,56,29,54,4,51,3
202311,11,5,12,60,9,48,14,25,33,28,33,24,22,23,22,10,22,14,64,27,73,26,91,12,97,15,76,27,123,31,122,18,94,11,58,21,78,5,13,0
202311,0,0,0,0,4,79,12,130,11,81,7,32,7,26,2,27,5,36,8,22,19,21,23,14,12,27,6,41,11,11,19,10,28,14,5,9,10,5,10,3
202311,0,0,0,0,4,223,20,343,12,172,9,119,15,121,15,135,17,107,21,124,27,101,30,87,15,113,22,112,19,63,20,35,47,33,13,45,6,24,8,5
202311,24,26,42,48,28,57,84,94,49,49,49,25,68,23,100,23,98,18,112,37,178,33,227,26,112,22,239,31,301,49,194,32,144,11,82,19,136,3,0,0
202312,0,0,10,112,38,58,59,68,41,53,40,45,41,67,30,44,51,50,61,39,102,30,127,30,103,50,109,53,167,33,137,43,117,38,48,12,32,8,12,0
202312,0,0,0,0,2,89,36,273,45,133,34,39,47,71,35,68,35,71,42,70,82,52,84,56,67,54,70,76,107,38,89,27,67,27,28,15,28,18,48,4
202312,61,109,61,372,101,112,145,166,181,78,136,32,158,76,90,66,105,51,158,67,200,40,305,31,194,39,227,53,281,23,326,32,265,27,171,11,197,6,9,0
202312,0,0,0,0,31,217,21,285,20,246,39,177,34,177,34,142,32,155,57,127,84,100,117,85,90,107,108,125,102,84,78,104,104,51,41,40,73,25,70,18
202312,38,30,36,55,30,56,51,55,71,41,52,22,53,25,82,21,95,17,125,32,188,26,196,20,147,26,214,34,289,43,188,22,163,13,67,13,121,4,0,0
202312,20,95,24,226,13,72,56,129,39,110,39,66,56,93,43,71,47,91,60,65,102,45,111,50,82,43,102,48,116,44,114,50,93,35,72,20,61,7,50,2
202312,0,0,0,0,4,11,47,190,41,71,63,28,76,46,32,56,57,63,53,50,119,56,146,66,89,51,133,64,172,39,141,18,115,29,50,13,74,15,77,1
202312,19,17,11,52,5,48,7,30,33,31,30,14,23,17,25,13,73,9,73,13,77,20,165,17,106,9,109,36,106,26,111,20,128,13,53,31,80,0,19,1
202312,0,0,0,0,8,67,14,107,13,75,6,49,2,23,9,27,12,49,18,46,13,22,22,23,7,35,8,39,9,16,25,9,25,11,4,7,10,6,11,3
202312,0,0,0,0,3,218,9,319,21,154,12,116,12,99,6,122,13,112,15,119,18,106,35,98,14,81,14,102,26,80,22,32,36,37,4,71,11,17,10,10
